book_id,slug,title,author,cover_image,pillar,secondary_categories,short_synopsis,gambrell_commentary,description_search_text,learn_more_label,post_url,inspector_enabled,learn_more_enabled,popup_mode,bookmark_enabled,related_gambrell_connections,investment_connections,partner_connections,external_purchase_url,external_supporting_links,related_book_ids,display_status,sort_order
B001,atomic-habits,Atomic Habits,James Clear,atomic-habits.jpg,Purpose & Meaning,Non-fiction|Core/Essentials,A practical guide to how small repeated behaviors shape long-term outcomes.,"Useful because it makes personal and organizational change feel achievable through systems, not willpower alone.",Atomic Habits James Clear habits behavior systems change routines productivity purpose meaning,Learn More,/library/atomic-habits/,true,true,modal,true,,,,https://example.org/buy/atomic-habits,,B030|B041|B043,published,1
B002,the-art-of-gathering,The Art of Gathering,Priya Parker,the-art-of-gathering.jpg,Belonging,Non-fiction|Book Club,A book about how intentional gatherings can create deeper connection and purpose.,"Helpful because it reframes gathering as something shaped with care, which is central to how people build belonging.",The Art of Gathering Priya Parker community gatherings belonging meetings connection design,Learn More,/library/the-art-of-gathering/,true,true,modal,true,Convenings and dialogue,,,https://example.org/buy/the-art-of-gathering,,B008|B017|B036,published,2
B003,mans-search-for-meaning,Man's Search for Meaning,Viktor E. Frankl,mans-search-for-meaning.jpg,Purpose & Meaning,Philosophy|Core/Essentials,"A classic exploration of meaning, suffering, and human resilience.",A foundational title for thinking about what sustains people through uncertainty and why meaning matters in real life.,Mans Search for Meaning Viktor Frankl resilience suffering philosophy purpose meaning vocation,Learn More,/library/mans-search-for-meaning/,true,true,modal,true,,,,https://example.org/buy/mans-search-for-meaning,,B040|B044|B022,published,3
B004,braiding-sweetgrass,Braiding Sweetgrass,Robin Wall Kimmerer,braiding-sweetgrass.jpg,Awe & Wonder,Non-fiction|Wisdom Traditions,"An essay collection weaving Indigenous knowledge, ecology, and gratitude.",Important because it links wonder with reciprocity and reminds readers that care and attention shape how we live together.,Braiding Sweetgrass Robin Wall Kimmerer ecology reciprocity gratitude awe wonder Indigenous knowledge,Learn More,/library/braiding-sweetgrass/,true,true,modal,true,Ecology and stewardship,,Land stewardship partners,https://example.org/buy/braiding-sweetgrass,https://example.org/media/braiding-sweetgrass,B027|B039|B046,published,4
B005,the-book-of-delights,The Book of Delights,Ross Gay,the-book-of-delights.jpg,Awe & Wonder,Non-fiction|Sally’s Pick,A series of brief essays noticing delight in ordinary life.,"A lovely reminder that attention itself can be a practice, and that delight can expand how we move through the world.",The Book of Delights Ross Gay delight joy noticing essays awe wonder everyday life,Learn More,/library/the-book-of-delights/,true,true,modal,true,,,,https://example.org/buy/the-book-of-delights,,B015|B021|B042,published,5
B006,the-giving-tree,The Giving Tree,Shel Silverstein,the-giving-tree.jpg,Relationship,Fiction,"A short illustrated story about generosity, attachment, and care.","A familiar book that still opens strong questions about love, reciprocity, and what healthy giving looks like.",The Giving Tree Shel Silverstein giving care love reciprocity relationship fiction,Learn More,/library/the-giving-tree/,true,true,modal,true,,,,https://example.org/buy/the-giving-tree,,B015|B029|B050,published,6
B007,the-prophet,The Prophet,Kahlil Gibran,the-prophet.jpg,Philosophy & Spirituality,Philosophy|Spirituality|Wisdom Traditions,"A poetic meditation on love, work, joy, sorrow, and the human condition.",A concise and enduring work that offers spiritual reflection without losing emotional warmth.,The Prophet Kahlil Gibran poetry spirituality philosophy wisdom traditions reflection,Learn More,/library/the-prophet/,true,true,modal,true,,,,https://example.org/buy/the-prophet,,B014|B031|B047,published,7
B008,all-about-love,All About Love,bell hooks,all-about-love.jpg,Relationship,Non-fiction|Core/Essentials,"A reflection on love as an ethic, practice, and social force.","Important because it treats love as something active and transformative, not just personal sentiment.",All About Love bell hooks love care ethics relationship transformation,Learn More,/library/all-about-love/,true,true,modal,true,Care and connection,,,https://example.org/buy/all-about-love,,B002|B018|B029,published,8
B009,the-overstory,The Overstory,Richard Powers,the-overstory.jpg,Belonging,Fiction|Book Club,An expansive novel connecting human lives to the life of trees.,"A powerful literary way into interdependence, shared responsibility, and belonging within a larger living world.",The Overstory Richard Powers trees interdependence belonging environment fiction,Learn More,/library/the-overstory/,true,true,modal,true,,,,https://example.org/buy/the-overstory,,B004|B035|B046,published,9
B010,the-road-less-traveled,The Road Less Traveled,M. Scott Peck,the-road-less-traveled.jpg,Purpose & Meaning,Spirituality|Non-fiction,"A self-help classic about discipline, love, and spiritual growth.",Relevant because it speaks to the long work of becoming and the tension between comfort and growth.,The Road Less Traveled M Scott Peck discipline growth spirituality purpose meaning,Learn More,/library/the-road-less-traveled/,true,true,modal,true,,,,https://example.org/buy/the-road-less-traveled,,B033|B044|B003,published,10
